movie,year,timeMin,imdb,metascore,votes,us_grossMillions
Only the Brave,2017,134,7.6,72,55252,18.34
The Elephant Man,1980,124,8.1,78,214961,
Lawrence of Arabia,1962,228,8.3,100,262001,44.82
The Bourne Ultimatum,2007,115,8,85,598079,227.47
The Fugitive,1993,130,7.8,87,262603,183.88
Y Tu Mamá También,2001,106,7.6,88,113853,13.62
Kill Bill: Vol. 2,2004,137,8,83,669370,66.21
How to Train Your Dragon,2010,98,8.1,75,652600,217.58
Dog Day Afternoon,1975,125,8,86,231051,50
500 Days of Summer,2009,95,7.7,76,465022,32.39
Traffic,2000,147,7.6,86,193401,124.12
Big Hero 6,2014,102,7.8,74,401610,222.53
All That Jazz,1979,123,7.9,72,27375,37.82
Young Frankenstein,1974,106,8,80,140742,86.3
The Fighter,2010,116,7.8,79,334600,93.62
The Holy Mountain,1973,114,7.9,76,35552,0.06
The King's Speech,2010,118,8,88,629052,138.8
The Farewell,2019,100,7.6,89,45296,16.88
Gone Baby Gone,2007,114,7.6,72,246027,20.3
First Blood,1982,93,7.7,61,221850,47.21
Misery,1990,107,7.8,75,179643,61.28
It's a Wonderful Life,1946,130,8.6,89,388977,
Boyhood,2014,165,7.9,100,331152,25.38
Toy Story 3,2010,103,8.3,92,740922,415
Monty Python and the Holy Grail,1975,91,8.2,93,492363,1.23
The Count of Monte Cristo,2002,131,7.8,61,127029,54.23
Roma,2018,135,7.7,96,135058,
Apollo 13,1995,140,7.6,77,262621,173.84
The Secret in Their Eyes,2009,129,8.2,80,188279,6.39
La Haine,1995,98,8.1,0,144970,0.31
Mad Max 2: The Road Warrior,1981,96,7.6,77,163763,12.47
District 9,2009,112,7.9,81,630864,115.65
Planet of the Apes,1968,112,8,79,163062,33.4
JFK,1991,189,8,72,138948,70.41
When Harry Met Sally...,1989,95,7.6,76,191004,92.82
Man on Fire,2004,146,7.7,47,324235,77.91
Raging Bull,1980,129,8.2,89,314417,23.38
The Others,2001,104,7.6,74,330984,96.52
Life of Pi,2012,127,7.9,79,571092,124.99
The Boy in the Striped Pajamas,2008,94,7.8,55,186174,9.03
All the President's Men,1976,138,8,84,100088,70.6
Fantastic Mr. Fox,2009,87,7.9,83,193490,21
Annie Hall,1977,93,8,92,248531,39.2
Dogville,2003,178,8,60,135203,1.53
Straight Outta Compton,2015,147,7.8,72,176418,161.2
The Warriors,1979,92,7.6,65,91971,22.49
My Neighbor Totoro,1988,86,8.2,86,279385,1.11
Lost Highway,1997,134,7.6,52,127937,3.8
Creed,2015,133,7.6,82,242119,109.77
Falling Down,1993,113,7.6,56,166950,40.9
Dangal,2016,161,8.4,0,148526,12.39
A Silent Voice: The Movie,2016,130,8.1,78,41357,
The Boondock Saints,1999,108,7.8,44,224929,0.03
Gattaca,1997,106,7.8,64,276107,12.34
Breakfast at Tiffany's,1961,115,7.6,76,163386,
Gifted,2017,101,7.6,60,96109,24.8
Some Like It Hot,1959,121,8.2,98,238523,25
